sample_id,subject_id,session_id,media_path,label,label_source,split,recorded_sex
01-01-01-01-01-01-01,actor-01,01-01-01-01-01-01-01,data\ravdess\Actor_01\01-01-01-01-01-01-01.mp4,neutral,RAVDESS acted emotion,validation,male
01-01-01-01-01-02-01,actor-01,01-01-01-01-01-02-01,data\ravdess\Actor_01\01-01-01-01-01-02-01.mp4,neutral,RAVDESS acted emotion,validation,male
01-01-01-01-02-01-01,actor-01,01-01-01-01-02-01-01,data\ravdess\Actor_01\01-01-01-01-02-01-01.mp4,neutral,RAVDESS acted emotion,validation,male
01-01-01-01-02-02-01,actor-01,01-01-01-01-02-02-01,data\ravdess\Actor_01\01-01-01-01-02-02-01.mp4,neutral,RAVDESS acted emotion,validation,male
01-01-02-01-01-01-01,actor-01,01-01-02-01-01-01-01,data\ravdess\Actor_01\01-01-02-01-01-01-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-02-01-01-02-01,actor-01,01-01-02-01-01-02-01,data\ravdess\Actor_01\01-01-02-01-01-02-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-02-01-02-01-01,actor-01,01-01-02-01-02-01-01,data\ravdess\Actor_01\01-01-02-01-02-01-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-02-01-02-02-01,actor-01,01-01-02-01-02-02-01,data\ravdess\Actor_01\01-01-02-01-02-02-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-02-02-01-01-01,actor-01,01-01-02-02-01-01-01,data\ravdess\Actor_01\01-01-02-02-01-01-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-02-02-01-02-01,actor-01,01-01-02-02-01-02-01,data\ravdess\Actor_01\01-01-02-02-01-02-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-02-02-02-01-01,actor-01,01-01-02-02-02-01-01,data\ravdess\Actor_01\01-01-02-02-02-01-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-02-02-02-02-01,actor-01,01-01-02-02-02-02-01,data\ravdess\Actor_01\01-01-02-02-02-02-01.mp4,calm,RAVDESS acted emotion,validation,male
01-01-03-01-01-01-01,actor-01,01-01-03-01-01-01-01,data\ravdess\Actor_01\01-01-03-01-01-01-01.mp4,happy,RAVDESS acted emotion,validation,male
01-01-03-01-01-02-01,actor-01,01-01-03-01-01-02-01,data\ravdess\Actor_01\01-01-03-01-01-02-01.mp4,happy,RAVDESS acted emotion,validation,male
01-01-03-01-02-01-01,actor-01,01-01-03-01-02-01-01,data\ravdess\Actor_01\01-01-03-01-02-01-01.mp4,happy,RAVDESS acted emotion,validation,male
